"","title","price","date"
"1","
							Hum Aapke Hain Koun..!
						","7,11,29,25,540","05 Aug 1994"
"2","
							Bahubali 2 - The Conclusion
						","5,10,56,00,000","28 Apr 2017"
"3","
							Gadar - Ek Prem Katha
						","4,86,36,05,410","15 Jun 2001"
"4","
							Dilwale Dulhania Le Jayenge
						","4,61,33,71,070","20 Oct 1995"
"5","
							Raja Hindustani
						","3,94,05,65,750","11 Nov 1996"
"6","
							Dangal
						","3,74,53,00,000","23 Dec 2016"
"7","
							Border
						","3,56,62,72,110","13 Jun 1997"
"8","
							Kuch Kuch Hota Hai
						","3,42,92,29,860","16 Oct 1998"
"9","
							Bajrangi Bhaijaan
						","3,40,60,52,890","17 Jul 2015"
"10","
							PK
						","3,37,72,50,000","19 Dec 2014"
"11","
							3 Idiots
						","3,05,67,63,450","24 Dec 2009"
"12","
							Dhoom 3
						","2,86,51,92,810","20 Dec 2013"
"13","
							Sanju
						","3,34,57,75,000","29 Jun 2018"
"14","
							Kaho Naa... Pyaar Hai
						","2,94,88,60,710","14 Jan 2000"
"15","
							Karan Arjun
						","2,87,67,33,210","13 Jan 1995"
"16","
							Kabir Singh
						","2,76,34,00,000","21 Jun 2019"
"17","
							Aankhen
						","2,74,58,45,840","09 Apr 1993"
"18","
							Uri - The Surgical Strike
						","2,44,00,50,000","11 Jan 2019"
"19","
							Tiger Zinda Hai
						","3,39,00,00,000","22 Dec 2017"
"20","
							Sultan
						","3,08,56,14,450","06 Jul 2016"
"21","
							Kabhi Khushi Kabhie Gham...
						","2,99,79,07,410","14 Dec 2001"
"22","
							War
						","2,92,71,50,000","02 Oct 2019"
"23","
							Dil To Pagal Hai
						","2,83,81,69,040","31 Oct 1997"
"24","
							Padmaavat
						","2,82,28,00,000","25 Jan 2018"
"25","
							Hum Saath Saath Hain
						","2,74,25,76,060","05 Nov 1999"
"26","
							Tanhaji - The Unsung Warrior
						","2,69,77,00,000","10 Jan 2020"
"27","
							Mohabbatein
						","2,56,99,50,910","27 Oct 2000"
"28","
							Chennai Express
						","2,42,60,80,590","08 Aug 2013"
"29","
							Dabangg
						","2,41,25,20,620","10 Sep 2010"
"30","
							Khalnayak
						","2,40,78,08,290","06 Aug 1993"
"31","
							Simmba
						","2,39,84,50,000","28 Dec 2018"
"32","
							Ek Tha Tiger
						","2,37,91,49,630","15 Aug 2012"
"33","
							Kick
						","2,32,65,44,640","25 Jul 2014"
"34","
							Ghajini
						","2,30,94,26,380","25 Dec 2008"
"35","
							Bodyguard
						","2,12,99,73,160","31 Aug 2011"
"36","
							Krrish 3
						","2,09,83,33,230","01 Nov 2013"
"37","
							Dhoom 2
						","2,07,31,36,690","24 Nov 2006"
"38","
							Mohra
						","2,06,83,28,190","01 Jul 1994"
"39","
							Golmaal Again
						","2,05,50,00,000","20 Oct 2017"
"40","
							Raja
						","2,05,10,17,590","02 Jun 1995"
"41","
							Dabangg 2
						","1,97,41,77,760","21 Dec 2012"
"42","
							Yeh Jawaani Hai Deewani
						","1,94,87,88,880","31 May 2013"
"43","
							Rowdy Rathore
						","1,93,25,36,150","01 Jun 2012"
"44","
							Darr
						","1,91,43,60,020","24 Dec 1993"
"45","
							Agni Sakshi
						","1,89,17,60,070","29 Mar 1996"
"46","
							Krrish
						","1,88,65,66,890","23 Jun 2006"
"47","
							Ready
						","1,77,45,28,840","03 Jun 2011"
"48","
							Rangeela
						","1,76,54,88,860","08 Sep 1995"
"49","
							Om Shanti Om
						","1,72,85,59,580","09 Nov 2007"
"50","
							Golmaal 3
						","1,70,33,63,040","05 Nov 2010"
"51","
							Lage Raho Munnabhai
						","1,69,59,57,950","01 Sep 2006"
"52","
							Rab Ne Bana Di Jodi
						","1,65,82,59,310","12 Dec 2008"
"53","
							Baaghi 2
						","1,60,74,50,000","30 Mar 2018"
"54","
							Krantiveer
						","1,55,26,64,650","22 Jul 1994"
"55","
							Tanu Weds Manu Returns
						","1,48,84,75,000","22 May 2015"
"56","
							Bahubali - The Beginning
						","1,42,65,85,780","10 Jul 2015"
"57","
							Badhaai Ho
						","1,34,46,50,000","18 Oct 2018"
"58","
							Raaz
						","1,23,48,22,800","01 Feb 2002"
"59","
							Vivah
						","98,48,76,970","10 Nov 2006"
"60","
							Aashiqui 2
						","94,76,59,180","26 Apr 2013"
"61","
							Housefull 4
						","2,05,60,50,000","25 Oct 2019"
